LeadID,Age,Gender,Location,LeadSource,TimeSpent (minutes),PagesViewed,LeadStatus,EmailSent,DeviceType,ReferralSource,FormSubmissions,Downloads,CTR_ProductPage,ResponseTime (hours),FollowUpEmails,SocialMediaEngagement,PaymentHistory,Conversion (Target)
1,60,Female,Faisalabad,Referral,30,13,Warm,1,Desktop,Google,4,0,0.3,7,10,195,No Payment,0
2,27,Female,Islamabad,Referral,28,4,Hot,7,Desktop,Direct,2,2,0.3,13,3,103,No Payment,0
3,21,Female,Rawalpindi,Referral,45,10,Warm,9,Tablet,Direct,4,2,0.6,10,8,33,No Payment,0
4,37,Female,Faisalabad,Email,45,15,Warm,5,Desktop,ReferralSite,1,3,0.3,11,1,189,Good,0
5,35,Male,Karachi,Referral,31,11,Cold,2,Tablet,Google,4,3,0.5,9,2,83,No Payment,0
6,34,Male,Faisalabad,Referral,19,6,Hot,7,Desktop,Twitter,5,0,0.7,4,10,100,Good,0
7,28,Female,Rawalpindi,Email,42,15,Cold,0,Tablet,Direct,1,0,0.8,1,10,54,Good,0
8,26,Female,Gujranwala,Organic,45,11,Warm,1,Desktop,Direct,3,3,0.3,21,1,44,No Payment,0
9,54,Female,Islamabad,Social Media,12,3,Warm,6,Desktop,Google,3,0,0.6,5,6,49,Good,0
10,25,Male,Lahore,Referral,27,12,Hot,1,Desktop,Google,5,1,0.6,13,8,118,Good,0
11,57,Female,Islamabad,Social Media,26,12,Warm,10,Tablet,Facebook,4,2,0.8,5,7,165,No Payment,0
12,47,Female,Faisalabad,Email,58,5,Hot,0,Mobile,ReferralSite,5,3,0.4,22,1,156,No Payment,0
13,22,Female,Peshawar,Email,17,2,Cold,6,Desktop,Facebook,4,0,0.4,17,0,166,No Payment,0
14,21,Male,Multan,Referral,40,3,Warm,2,Tablet,ReferralSite,5,3,0.7,4,9,80,Good,0
15,25,Male,Islamabad,Referral,26,3,Cold,7,Mobile,Twitter,2,1,0.7,4,6,26,Good,0
16,33,Male,Islamabad,Organic,26,2,Warm,5,Tablet,Twitter,2,2,0.5,21,4,167,No Payment,0
17,34,Male,Lahore,Referral,5,13,Hot,0,Desktop,Twitter,1,1,0.2,14,0,71,Good,0
18,52,Female,Rawalpindi,Referral,22,8,Hot,8,Desktop,Facebook,1,3,0.3,17,10,189,No Payment,0
19,58,Female,Islamabad,Referral,58,10,Warm,3,Desktop,Facebook,5,2,0.8,6,1,126,No Payment,0
20,21,Male,Karachi,Social Media,55,13,Warm,8,Mobile,Direct,5,2,0.1,13,2,128,No Payment,0
21,55,Male,Faisalabad,Social Media,5,6,Cold,6,Desktop,Twitter,2,1,0.2,11,6,109,No Payment,0
22,32,Female,Lahore,Referral,5,14,Warm,0,Tablet,Twitter,5,2,0.2,12,10,163,Good,0
23,54,Male,Lahore,Email,28,15,Cold,6,Mobile,ReferralSite,0,0,0.4,21,2,146,Good,0
24,46,Male,Karachi,Email,23,10,Hot,0,Mobile,Direct,3,2,0.2,4,0,91,Good,0
